Identifyer,mesor,pval_lombout,pwr_lombout,period_lombout,pval_cos,phi_cos,phi_SE_cos,amp_cos,amp_SE_cos,PR_cos,period_auto,pwr_auto,window_start,window_end,window
IND 6,17.9305555555556,NA,-Inf,NA,0.179550022791392,-35.3961369799553,30.5321577709558,6.1434628137809,3.2737695077092,4.85582879013543,5,-0.0445999516698792,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 7,7.21529148649695,0.00844222351128784,5.92508158346502,24.4827586206897,0.00448748044996106,-176.245236084314,16.4733014693914,2.18279931000511,0.638022215315651,14.50472699126,4,0.0720162375517915,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 7,8.05631773588558,0.716477676539743,1.11191170629775,24.8251748251748,0.192573874168773,-13.7935811518068,31.2072012519427,0.836648734634364,0.455708643305539,4.66251483612912,3,0.0552589516378204,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 7,7.96787616979583,1.15085702767421e-4,10.2204054932985,19.9438202247191,7.28150692164142e-6,-234.809690800785,11.1652797385423,2.34683673955231,0.441771207383448,29.0293345623739,16,0.0896087657565153,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 8,7.50183628819979,4.65881258353838e-6,13.4273219802947,21.9814241486068,6.02983999854478e-5,-225.91302902443,12.5845443341991,9.63320150507461,2.03366998117718,24.5446526189565,10,0.0218629748109444,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 8,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 8,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 9,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 9,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 9,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
